Jun 28 19:43:41 dnsmasq[210]: query[AAAA] cdn.accentuate.io from 10.1.1.92
Jun 28 19:43:41 dnsmasq[210]: query[A] cdn.accentuate.io from 10.1.1.92
Jun 28 19:43:41 dnsmasq[210]: query[HTTPS] cdn.accentuate.io from 10.1.1.92
Jun 28 19:43:41 dnsmasq[210]: query[AAAA] shop.app from 10.1.1.92
Jun 28 19:43:41 dnsmasq[210]: query[A] shop.app from 10.1.1.92
Jun 28 19:43:41 dnsmasq[210]: query[HTTPS] shop.app from 10.1.1.92
Jun 28 19:43:41 dnsmasq[210]: query[AAAA] content-autofill.googleapis.com from 10.1.1.92
Jun 28 19:43:41 dnsmasq[210]: query[A] content-autofill.googleapis.com from 10.1.1.92
Jun 28 19:43:41 dnsmasq[210]: query[HTTPS] content-autofill.googleapis.com from 10.1.1.92
Jun 28 19:43:41 dnsmasq[210]: query[AAAA] fonts.gstatic.com from 10.1.1.92
Jun 28 19:43:41 dnsmasq[210]: query[A] fonts.gstatic.com from 10.1.1.92
Jun 28 19:43:41 dnsmasq[210]: query[HTTPS] fonts.gstatic.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] www.clarity.ms from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] www.clarity.ms from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] www.clarity.ms from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] sc-static.net from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] sc-static.net from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] sc-static.net from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] sdk.loyaltylion.net from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] sdk.loyaltylion.net from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] sdk.loyaltylion.net from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] acsbap.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] acsbap.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] acsbap.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] intljs.rmtag.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] intljs.rmtag.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] intljs.rmtag.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] intg.snapchat.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] intg.snapchat.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] intg.snapchat.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] easyredirects.esc-apps-cdn.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] easyredirects.esc-apps-cdn.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] easyredirects.esc-apps-cdn.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] shopify.rakutenadvertising.io from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] shopify.rakutenadvertising.io from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] shopify.rakutenadvertising.io from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] cdn.attn.tv from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] cdn.attn.tv from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] cdn.attn.tv from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] storage.googleapis.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] storage.googleapis.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] storage.googleapis.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] static.edgeme.sh from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] static.edgeme.sh from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] static.edgeme.sh from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[AAAA] searchserverapi.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[A] searchserverapi.com from 10.1.1.92
Jun 28 19:43:42 dnsmasq[210]: query[HTTPS] searchserverapi.com from 10.1.1.92
