Feb 15 10:23:34 dnsmasq[416]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
Feb 15 10:24:08 dnsmasq[416]: query[A] inbox.google.com from 10.1.1.92
Feb 15 10:24:11 dnsmasq[416]: query[A] mobilemaps.googleapis.com from 10.1.1.92
Feb 15 10:24:11 dnsmasq[416]: query[A] mobilemaps-pa-gz.googleapis.com from 10.1.1.92
Feb 15 10:24:12 dnsmasq[416]: query[A] www.googleapis.com from 10.1.1.92
Feb 15 10:24:12 dnsmasq[416]: query[A] android.googleapis.com from 10.1.1.92
Feb 15 10:24:12 dnsmasq[416]: query[A] graph.facebook.com from 10.1.1.92
Feb 15 10:24:12 dnsmasq[416]: query[A] android.googleapis.com from 10.1.1.92
Feb 15 10:24:12 dnsmasq[416]: query[A] app-measurement.com from 10.1.1.92
Feb 15 10:24:12 dnsmasq[416]: query[A] lh3.googleusercontent.com from 10.1.1.92
Feb 15 10:24:12 dnsmasq[416]: query[A] geller-pa.googleapis.com from 10.1.1.92
Feb 15 10:24:16 dnsmasq[416]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
Feb 15 10:24:20 dnsmasq[416]: query[A] infinitedata-pa.googleapis.com from 10.1.1.92
Feb 15 10:24:22 dnsmasq[416]: query[A] app-measurement.com from 10.1.1.92
Feb 15 10:24:31 dnsmasq[416]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:24:45 dnsmasq[416]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:24:46 dnsmasq[416]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:24:49 dnsmasq[416]: query[A] ssl.google-analytics.com from 10.1.1.92
Feb 15 10:24:51 dnsmasq[416]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
Feb 15 10:24:56 dnsmasq[416]: query[A] app-measurement.com from 10.1.1.92
Feb 15 10:24:59 dnsmasq[416]: query[A] powerup.groupme.com from 10.1.1.92
Feb 15 10:24:59 dnsmasq[416]: query[A] v2.groupme.com from 10.1.1.92
Feb 15 10:24:59 dnsmasq[416]: query[A] api.mixpanel.com from 10.1.1.92
Feb 15 10:24:59 dnsmasq[416]: query[A] api.groupme.com from 10.1.1.92
Feb 15 10:24:59 dnsmasq[416]: query[A] push.groupme.com from 10.1.1.92
Feb 15 10:24:59 dnsmasq[416]: query[A] config.edge.skype.com from 10.1.1.92
Feb 15 10:25:00 dnsmasq[416]: query[A] api.statsig.com from 10.1.1.92
Feb 15 10:25:01 dnsmasq[416]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
Feb 15 10:25:02 dnsmasq[416]: query[A] in.appcenter.ms from 10.1.1.92
Feb 15 10:25:03 dnsmasq[416]: query[A] i.groupme.com from 10.1.1.92
Feb 15 10:25:05 dnsmasq[416]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:25:05 dnsmasq[416]: query[A] in.appcenter.ms from 10.1.1.92
Feb 15 10:25:06 dnsmasq[416]: query[A] app-measurement.com from 10.1.1.92
Feb 15 10:25:15 dnsmasq[416]: query[A] in.appcenter.ms from 10.1.1.92
Feb 15 10:25:23 dnsmasq[416]: query[A] i.instagram.com from 10.1.1.92
Feb 15 10:25:27 dnsmasq[416]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:25:28 dnsmasq[416]: query[A] in.appcenter.ms from 10.1.1.92
Feb 15 10:25:32 dnsmasq[416]: query[A] clients3.google.com from 10.1.1.92
Feb 15 10:25:51 dnsmasq[416]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:25:51 dnsmasq[416]: query[A] pull-a5-tt02-infra.fcdn.us.tiktokv.com from 10.1.1.92
